District,Location,School Type,Category,Composition,Number,Population,No/100000
Badin,Urban,Primary,INSTITUTIONS,TOTAL,168,"1,804,516",9.30997563889708
Badin,Urban,Primary,INSTITUTIONS,MALE,30,"1,804,516",1.66249564980305
Badin,Urban,Primary,INSTITUTIONS,FEMALE,27,"1,804,516",1.49624608482274
Badin,Urban,Primary,INSTITUTIONS,MIXED,111,"1,804,516",6.15123390427128
Badin,Urban,Primary,ENROLMENT,TOTAL,16446,"1,804,516",911.380115222032
Badin,Urban,Primary,ENROLMENT,MALE,10015,"1,804,516",554.996464425918
Badin,Urban,Primary,ENROLMENT,FEMALE,6431,"1,804,516",356.383650796114
Badin,Urban,Primary,TEACHING STAFF,TOTAL,550,"1,804,516",30.4790869130559
Badin,Urban,Primary,TEACHING STAFF,MALE,382,"1,804,516",21.1691112741588
Badin,Urban,Primary,TEACHING STAFF,FEMALE,168,"1,804,516",9.30997563889708
Badin,Urban,Middle,INSTITUTIONS,TOTAL,10,"1,804,516",0.554165216601017
Badin,Urban,Middle,INSTITUTIONS,MALE,3,"1,804,516",0.166249564980305
Badin,Urban,Middle,INSTITUTIONS,FEMALE,2,"1,804,516",0.110833043320203
Badin,Urban,Middle,INSTITUTIONS,MIXED,5,"1,804,516",0.277082608300508
Badin,Urban,Middle,ENROLMENT,TOTAL,973,"1,804,516",53.9202755752789
Badin,Urban,Middle,ENROLMENT,MALE,718,"1,804,516",39.789062551953
Badin,Urban,Middle,ENROLMENT,FEMALE,255,"1,804,516",14.1312130233259
Badin,Urban,Middle,TEACHING STAFF,TOTAL,47,"1,804,516",2.60457651802478
Badin,Urban,Middle,TEACHING STAFF,MALE,42,"1,804,516",2.32749390972427
Badin,Urban,Middle,TEACHING STAFF,FEMALE,5,"1,804,516",0.277082608300508
Badin,Urban,Secondary,INSTITUTIONS,TOTAL,8,"1,804,516",0.443332173280813
Badin,Urban,Secondary,INSTITUTIONS,MALE,3,"1,804,516",0.166249564980305
Badin,Urban,Secondary,INSTITUTIONS,FEMALE,2,"1,804,516",0.110833043320203
Badin,Urban,Secondary,INSTITUTIONS,MIXED,3,"1,804,516",0.166249564980305
Badin,Urban,Secondary,ENROLMENT,TOTAL,10738,"1,804,516",595.062609586172
Badin,Urban,Secondary,ENROLMENT,MALE,6855,"1,804,516",379.880255979997
Badin,Urban,Secondary,ENROLMENT,FEMALE,3883,"1,804,516",215.182353606175
Badin,Urban,Secondary,TEACHING STAFF,TOTAL,380,"1,804,516",21.0582782308386
Badin,Urban,Secondary,TEACHING STAFF,MALE,224,"1,804,516",12.4133008518628
Badin,Urban,Secondary,TEACHING STAFF,FEMALE,156,"1,804,516",8.64497737897586
Badin,Urban,Higher secondary,INSTITUTIONS,TOTAL,7,"1,804,516",0.387915651620712
Badin,Urban,Higher secondary,INSTITUTIONS,MALE,1,"1,804,516",0.0554165216601017
Badin,Urban,Higher secondary,INSTITUTIONS,FEMALE,3,"1,804,516",0.166249564980305
Badin,Urban,Higher secondary,INSTITUTIONS,MIXED,3,"1,804,516",0.166249564980305
Badin,Urban,Higher secondary,ENROLMENT,TOTAL,8901,"1,804,516",493.262459296565
Badin,Urban,Higher secondary,ENROLMENT,MALE,5920,"1,804,516",328.065808227802
Badin,Urban,Higher secondary,ENROLMENT,FEMALE,2981,"1,804,516",165.196651068763
Badin,Urban,Higher secondary,TEACHING STAFF,TOTAL,288,"1,804,516",15.9599582381093
Badin,Urban,Higher secondary,TEACHING STAFF,MALE,171,"1,804,516",9.47622520387738
Badin,Urban,Higher secondary,TEACHING STAFF,FEMALE,117,"1,804,516",6.48373303423189
Badin,Rural,Primary,INSTITUTIONS,TOTAL,2595,"1,804,516",143.805873707964
Badin,Rural,Primary,INSTITUTIONS,MALE,402,"1,804,516",22.2774417073609
Badin,Rural,Primary,INSTITUTIONS,FEMALE,247,"1,804,516",13.6878808500451
Badin,Rural,Primary,INSTITUTIONS,MIXED,1946,"1,804,516",107.840551150558
Badin,Rural,Primary,ENROLMENT,TOTAL,123716,"1,804,516",6855.91039370114
Badin,Rural,Primary,ENROLMENT,MALE,83230,"1,804,516",4612.31709777026
Badin,Rural,Primary,ENROLMENT,FEMALE,40486,"1,804,516",2243.59329593088
Badin,Rural,Primary,TEACHING STAFF,TOTAL,3706,"1,804,516",205.373629272337
Badin,Rural,Primary,TEACHING STAFF,MALE,3197,"1,804,516",177.166619747345
Badin,Rural,Primary,TEACHING STAFF,FEMALE,509,"1,804,516",28.2070095249917
Badin,Rural,Middle,INSTITUTIONS,TOTAL,91,"1,804,516",5.04290347106925
Badin,Rural,Middle,INSTITUTIONS,MALE,16,"1,804,516",0.886664346561626
Badin,Rural,Middle,INSTITUTIONS,FEMALE,16,"1,804,516",0.886664346561626
Badin,Rural,Middle,INSTITUTIONS,MIXED,59,"1,804,516",3.269574777946
Badin,Rural,Middle,ENROLMENT,TOTAL,9532,"1,804,516",528.230284464089
Badin,Rural,Middle,ENROLMENT,MALE,5777,"1,804,516",320.141245630407
Badin,Rural,Middle,ENROLMENT,FEMALE,3755,"1,804,516",208.089038833682
Badin,Rural,Middle,TEACHING STAFF,TOTAL,335,"1,804,516",18.5645347561341
Badin,Rural,Middle,TEACHING STAFF,MALE,245,"1,804,516",13.5770478067249
Badin,Rural,Middle,TEACHING STAFF,FEMALE,90,"1,804,516",4.98748694940915
Badin,Rural,Secondary,INSTITUTIONS,TOTAL,52,"1,804,516",2.88165912632529
Badin,Rural,Secondary,INSTITUTIONS,MALE,6,"1,804,516",0.33249912996061
Badin,Rural,Secondary,INSTITUTIONS,FEMALE,9,"1,804,516",0.498748694940915
Badin,Rural,Secondary,INSTITUTIONS,MIXED,37,"1,804,516",2.05041130142376
Badin,Rural,Secondary,ENROLMENT,TOTAL,21993,"1,804,516",1218.77556087062
Badin,Rural,Secondary,ENROLMENT,MALE,15585,"1,804,516",863.666490072684
Badin,Rural,Secondary,ENROLMENT,FEMALE,6408,"1,804,516",355.109070797931
Badin,Rural,Secondary,TEACHING STAFF,TOTAL,813,"1,804,516",45.0536321096626
Badin,Rural,Secondary,TEACHING STAFF,MALE,629,"1,804,516",34.8569921242039
Badin,Rural,Secondary,TEACHING STAFF,FEMALE,184,"1,804,516",10.1966399854587
Badin,Rural,Higher secondary,INSTITUTIONS,TOTAL,3,"1,804,516",0.166249564980305
Badin,Rural,Higher secondary,INSTITUTIONS,MALE,1,"1,804,516",0.0554165216601017
Badin,Rural,Higher secondary,INSTITUTIONS,FEMALE,0,"1,804,516",0
Badin,Rural,Higher secondary,INSTITUTIONS,MIXED,2,"1,804,516",0.110833043320203
Badin,Rural,Higher secondary,ENROLMENT,TOTAL,2827,"1,804,516",156.662506733107
Badin,Rural,Higher secondary,ENROLMENT,MALE,2474,"1,804,516",137.100474587092
Badin,Rural,Higher secondary,ENROLMENT,FEMALE,353,"1,804,516",19.5620321460159
Badin,Rural,Higher secondary,TEACHING STAFF,TOTAL,57,"1,804,516",3.15874173462579
Badin,Rural,Higher secondary,TEACHING STAFF,MALE,54,"1,804,516",2.99249216964549
Badin,Rural,Higher secondary,TEACHING STAFF,FEMALE,3,"1,804,516",0.166249564980305
Badin,Total,Primary,INSTITUTIONS,TOTAL,2763,"1,804,516",153.115849346861
Badin,Total,Primary,INSTITUTIONS,MALE,432,"1,804,516",23.9399373571639
Badin,Total,Primary,INSTITUTIONS,FEMALE,274,"1,804,516",15.1841269348679
Badin,Total,Primary,INSTITUTIONS,MIXED,2057,"1,804,516",113.991785054829
Badin,Total,Primary,ENROLMENT,TOTAL,140162,"1,804,516",7767.29050892317
Badin,Total,Primary,ENROLMENT,MALE,93245,"1,804,516",5167.31356219618
Badin,Total,Primary,ENROLMENT,FEMALE,46917,"1,804,516",2599.97694672699
Badin,Total,Primary,TEACHING STAFF,TOTAL,4256,"1,804,516",235.852716185393
Badin,Total,Primary,TEACHING STAFF,MALE,3579,"1,804,516",198.335731021504
Badin,Total,Primary,TEACHING STAFF,FEMALE,677,"1,804,516",37.5169851638888
Badin,Total,Middle,INSTITUTIONS,TOTAL,101,"1,804,516",5.59706868767027
Badin,Total,Middle,INSTITUTIONS,MALE,19,"1,804,516",1.05291391154193
Badin,Total,Middle,INSTITUTIONS,FEMALE,18,"1,804,516",0.99749738988183
Badin,Total,Middle,INSTITUTIONS,MIXED,64,"1,804,516",3.54665738624651
Badin,Total,Middle,ENROLMENT,TOTAL,10505,"1,804,516",582.150560039368
Badin,Total,Middle,ENROLMENT,MALE,6495,"1,804,516",359.93030818236
Badin,Total,Middle,ENROLMENT,FEMALE,4010,"1,804,516",222.220251857008
Badin,Total,Middle,TEACHING STAFF,TOTAL,382,"1,804,516",21.1691112741588
Badin,Total,Middle,TEACHING STAFF,MALE,287,"1,804,516",15.9045417164492
Badin,Total,Middle,TEACHING STAFF,FEMALE,95,"1,804,516",5.26456955770966
Badin,Total,Secondary,INSTITUTIONS,TOTAL,60,"1,804,516",3.3249912996061
Badin,Total,Secondary,INSTITUTIONS,MALE,9,"1,804,516",0.498748694940915
Badin,Total,Secondary,INSTITUTIONS,FEMALE,11,"1,804,516",0.609581738261118
Badin,Total,Secondary,INSTITUTIONS,MIXED,40,"1,804,516",2.21666086640407
Badin,Total,Secondary,ENROLMENT,TOTAL,32731,"1,804,516",1813.83817045679
Badin,Total,Secondary,ENROLMENT,MALE,22440,"1,804,516",1243.54674605268
Badin,Total,Secondary,ENROLMENT,FEMALE,10291,"1,804,516",570.291424404106
Badin,Total,Secondary,TEACHING STAFF,TOTAL,1193,"1,804,516",66.1119103405013
Badin,Total,Secondary,TEACHING STAFF,MALE,853,"1,804,516",47.2702929760667
Badin,Total,Secondary,TEACHING STAFF,FEMALE,340,"1,804,516",18.8416173644346
Badin,Total,Higher secondary,INSTITUTIONS,TOTAL,10,"1,804,516",0.554165216601017
Badin,Total,Higher secondary,INSTITUTIONS,MALE,2,"1,804,516",0.110833043320203
