,District,No.of Schools,Electricity With,Electricity Without,Drinking Water With,Drinking Water Without,Washroom With,Washroom Without,Boundary Wall With,Boundary Wall Without,Laboratory With,Laboratory Without,Library With,Library Without,Play Ground With,Play Ground Without,0 classroom,1 classroom,2 classroom,3 classroom,4 classroom,5 classroom,5+ classroom,Black Board,Student Chair,Desk/Bench,Teacher Table,Teacher Chair,Fans,Almirah,Computer,No of Students in Female Schools,No of Students in Male Schools,No of Students in Mixed Schools
1,Badin,2934,875,2059,1298,1636,1595,1339,1447,1487,35,2899,18,2916,727,2207,589,1314,730,89,64,46,102,5391,8939,41894,5234,11164,6872,3520,1006,132180,271960,4332
2,Dadu,1821,931,890,1001,820,1173,648,1223,598,32,1789,12,1809,190,1631,163,484,771,96,85,68,154,4676,4453,43717,4280,9755,6633,1683,190,182122,279256,2554
3,Hyderabad,868,634,234,604,264,737,131,747,121,69,799,41,827,117,751,16,184,259,89,43,75,202,5174,13548,40608,4673,11754,10502,2837,335,167514,182812,1150
4,Thatta,1282,220,1062,272,1010,786,496,584,698,9,1273,19,1263,550,732,63,756,288,66,27,31,51,2422,4568,19808,2370,4027,1546,1748,249,57444,103844,1738
5,Mirpurkhaas,1998,793,1205,936,1062,1293,705,971,1027,46,1952,23,1975,384,1614,274,756,634,107,67,59,101,4820,14515,34503,4669,10275,6717,3247,227,113448,224502,2934
6,Tharparkar,3439,550,2889,715,2724,1814,1625,1559,1880,22,3417,26,3413,1312,2127,345,1929,815,162,68,67,53,5065,10433,25682,4512,6906,2159,2909,236,108748,213794,5356
7,Sanghar,2955,830,2125,1665,1290,1776,1179,1724,1231,30,2925,41,2914,372,2583,429,1032,1060,110,106,69,149,6544,13420,50560,6541,14324,11578,3342,301,175026,339094,4600
8,Central Karachi,607,447,160,507,100,484,123,529,78,121,486,56,551,370,237,9,38,37,63,53,144,262,4426,5883,53387,3229,7906,6870,2795,417,127294,93484,696
9,East Karachi,264,223,41,219,45,241,23,238,26,59,205,25,239,84,180,5,6,16,29,22,58,142,2338,2910,24993,1600,3696,4151,1569,401,62882,47886,326
10,South Karachi,482,383,99,356,126,426,56,432,50,49,433,49,433,180,302,1,8,14,38,18,84,167,3803,5257,42261,2979,6352,7079,2379,599,76814,54542,346
11,West Karachi,363,232,131,256,107,301,62,340,23,82,281,27,336,173,190,8,61,70,65,54,159,152,2079,1640,21152,1290,3044,2393,1170,63,94928,80266,680
12,Malir Karachi,591,240,351,302,289,398,193,479,112,56,535,21,570,106,485,30,101,191,80,48,99,114,2166,3932,22020,2004,3793,2771,1364,163,67188,72448,828
13,Korangi Karachi,550,397,153,391,159,431,119,509,41,46,504,37,513,288,262,18,17,16,32,24,141,163,4157,4030,43295,3651,6706,4855,2328,250,100188,72628,440
14,Jacobad,1427,692,735,752,675,697,730,686,741,16,1411,12,1415,164,1263,312,523,391,60,36,30,75,2735,3968,20095,2197,5616,3146,1043,328,111628,188560,1922
15,Larkana,1158,799,359,954,204,915,243,1001,157,27,1131,37,1121,502,656,84,144,535,84,87,41,183,4686,8137,42878,4800,11706,10767,2634,299,206536,300042,1652
16,Shikarpur,1101,465,636,774,327,675,426,816,285,24,1077,19,1082,631,470,70,295,419,73,66,43,135,3981,11967,26720,2849,6447,5292,1945,422,108754,194092,1620
17,Khairpur Mirs,3290,2142,1148,2765,525,2357,933,2067,1223,48,3242,66,3224,1562,1728,241,1309,1048,221,118,95,258,7991,27599,65435,8209,19301,15006,4729,856,263820,428864,5148
18,Naushero Feroz,2235,1535,700,1972,263,1514,721,1428,807,48,2187,22,2213,140,2095,347,603,792,144,84,87,178,6747,6554,55884,5750,13190,10384,3282,185,195428,316104,3728
19,Shaheed Benazirabad,2361,1376,985,1687,674,1450,911,1664,697,34,2327,15,2346,135,2226,231,785,943,105,81,56,160,5342,13489,49051,4998,9388,8355,2779,610,188578,308608,3430
20,Sukkhur,1187,738,449,870,317,866,321,837,350,23,1164,33,1154,190,997,119,311,383,90,57,68,159,5314,12388,36061,4568,9312,8945,3463,893,139768,210280,1804
21,Ghotki,1891,905,986,1307,584,1186,705,1109,782,70,1821,34,1857,314,1577,393,383,782,127,67,50,89,6403,5875,37114,4114,9184,6166,2370,622,127060,276300,2896
22,Umerkot,2028,435,1593,688,1340,1336,692,1165,863,16,2012,16,2012,462,1566,183,904,703,89,41,37,71,3861,8249,26414,3492,7701,4479,2579,514,75322,169936,2634
23,Jamshoro,694,447,247,437,257,526,168,580,114,17,677,8,686,147,547,22,241,243,45,34,21,88,2607,3860,18598,2270,4646,3766,1319,173,76048,105112,1096
24,Matira,829,633,196,635,194,622,207,635,194,21,808,12,817,203,626,57,303,286,46,37,25,75,2617,3954,22373,2448,5543,5266,1432,164,68668,125580,1368
25,Tando Allah yar,760,492,268,432,328,561,199,615,145,25,735,10,750,62,698,30,245,295,67,43,18,62,2227,1284,20118,2087,4349,3909,1222,58,57444,107948,1142
26,Tando Muhammad Khan,1012,273,739,532,480,600,412,626,386,8,1004,8,1004,75,937,93,490,294,49,26,17,43,2292,3391,15051,1827,3501,2099,1094,91,43788,88258,1404
27,Sujawal,1390,145,1245,259,1131,467,923,414,976,22,1368,10,1380,412,978,142,867,282,34,16,15,34,1714,2258,13298,1684,3268,765,1040,161,48244,102030,1808
28,Kashmore,1368,391,977,804,564,610,758,581,787,28,1340,17,1351,253,1115,502,340,368,42,35,23,58,2521,9455,17542,2149,4739,2446,834,218,76698,180070,2030
29,Kamber Shahdadkot,1498,925,573,865,633,1068,430,1018,480,51,1447,20,1478,350,1148,134,476,581,87,72,65,83,3746,4032,28320,3159,8146,5611,1175,161,155990,234890,2194
